1,"MetaWorld"
2,"There Is No Tomorrow"
3,"社交"
4,"*o*( 我要开始表演了~"
5,"我要开始表演了我要开始表演了"
6,"凶手"
7,"GM"
8,"Button"
9,"Loading..."
10,"Double-双人"
11,"Social-社交"
12,"Dance-舞蹈"
13,"Pose-拍照"
14,"Other-其他"
15,"托举"
16,"肩抗"
17,"拖"
18,"公主抱"
19,"背"
20,"拉丁"
21,"现代03"
22,"爵士"
23,"现代02"
24,"告别"
25,"鼓掌"
26,"行礼"
27,"喝彩"
28,"欢呼"
29,"加油"
30,"开心跺脚"
31,"高举击掌"
32,"耍帅"
33,"后空翻"
34,"拒绝"
35,"不服气"
36,"挑衅"
37,"嘲讽"
38,"出拳"
39,"大脚踹"
40,"鞠躬"
41,"跪拜"
42,"俯首跪姿"
43,"害羞捂脸"
44,"比心"
45,"飞吻"
46,"亲吻"
47,"牵手吻"
48,"单膝跪地"
49,"生气"
50,"失望"
51,"哭泣"
52,"科目三"
53,"霹雳舞"
54,"一分一秒"
55,"外星人"
56,"恋爱"
57,"小熊跳舞"
58,"爱杀宝贝"
59,"怦然心动"
60,"今天我们开始"
61,"和我交往吗"
62,"天鹅舞"
63,"海草舞"
64,"招呼舞"
65,"街舞"
66,"海盗"
67,"鲤鱼"
68,"拉丁舞"
69,"鬼步舞"
70,"没有明天"
71,"电流舞"
72,"告别记忆"
73,"醉酒的蝴蝶"
74,"舞蹈01"
75,"小熊跳舞01"
76,"魔法城堡01"
77,"魔法城堡02"
78,"魔法城堡03"
79,"极乐净土"
80,"自由之轮"
81,"Full Video（女）"
82,"Full Video（男）"
83,"Permission（女3）"
84,"Permission（男1）"
85,"Permission（女1）"
86,"Permission（女2）"
87,"How You Like That（女）"
88,"How You Like That（男）"
89,"扭胯"
90,"欢迎你来"
91,"摇曳舞"
92,"桃源恋歌"
93,"螃蟹舞"
94,"抖肩舞"
95,"扮兔子"
96,"双手触地"
97,"单手摆"
98,"女性站立"
99,"男性站立"
100,"握拳举起"
101,"握拳摆"
102,"托腮"
103,"比耶"
104,"比造型"
105,"扶头耍帅"
106,"撑下巴"
107,"掩面"
108,"叉腰"
109,"撑头"
110,"握拳"
111,"侧身"
112,"眺望"
113,"抓手腕"
114,"双手握拳"
115,"双手交叉"
116,"单脚立地"
117,"鬼脸"
118,"单手抱头"
119,"蹲姿"
120,"双手合十"
121,"模仿飞天"
122,"伸腿摸头"
123,"鬼畜"
124,"坐姿单腿伸出"
125,"单手张开"
126,"单手叉腰"
127,"顶肩"
128,"半蹲张手"
129,"半躺抱头"
130,"单手匝地"
131,"双手比耶"
132,"单脚站立"
133,"双手合并"
134,"半躺撑着"
135,"站姿双手"
136,"双手抱头"
137,"屈腿坐姿"
138,"摆照型"
139,"双手托脸"
140,"半躺摸下巴"
141,"单脚抬起"
142,"比心左"
143,"比心右"
144,"骑马舞"
145,"学鸟走"
146,"旋转01"
147,"旋转02"
148,"旋转03"
149,"旋转04"
150,"旋转05"
151,"旋转06"
152,"旋转07"
153,"跳舞"
154,"歌舞"
155,"翻滚"
156,"冲刺"
157,"滑翔"
158,"空中蹬腿"
159,"下蹲行走"
160,"水中"
161,"飞行"
162,"丧尸行"
163,"仰卧起坐"
164,"转圈"
165,"鸭子坐"
166,"抱膝坐"
167,"躺下"
168,"趴下"
169,"爬行"
170,"我是{0}"
171,"学生"
172,"侦探"
173,"凶手是谁？"
174,"0.o 气死我了"
175,"救命啊！"
176,"谢谢你 ^_^"
177,"你好！"
178,"别刀我 QAQ"
179,"<--退！<--退！<--退！"
180,"*0* 满分操作！"
181,")*o*( 我要开始表演了~"
182,"烟花筒"
183,"冲浪"
184,"道具栏已满"
185,"正在使用此道具"
186,"有人正在使用，请换个试试"
187,"测试弹幕"
188,"Hot-热门"
189,"Wing-翅膀"
190,"Prop-道具"
191,"Food-食品"
192,"Firework-烟花"
193,"Vehicles-载具"
194,"雪"
